구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,토댁,510-90-49461,"토댁 성주 못난이참외 3kg, 1개 [원산지:국산(경상북도 성주군)]",6,148800,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,알찬연근팜,604-02-68674,복숭아 신비복숭아 신선 천도 딱딱이 옐로드림 복숭아 [예약판매] [원산지:국산(경상북도 경산시)],4,146120,3780,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,온드리 목장,519-33-01006,온드리목장 100g 무지방 무가당 그릭요거트 [원산지:국산(전라남도 화순군)],10,136600,12540,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,100g 낱개 25년 고시히카리 햅쌀 /당일도정 특등급/ 소포장 선물 캠핑용 [원산지:국산(인천광역시 강화군)],19,135800,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 유정란 중란 60구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],4,125500,6060,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 유정란 혼합 60구(유30+중30) 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],3,121000,6280,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,신기농원,540-25-00229,2026 첫 수확 문경 햇체리 1kg [원산지:국산(경상북도 문경시)],3,119600,15980,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,짱아찌네농장,280-90-00306,"당일수확 농장직송 생바질 스위트 식용허브 500g, 1개 [원산지:국산(경기도 양평군)]",5,117000,12800,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,100g 14개입/25년 고시히카리 햅쌀 랑이네갓도정쌀 /소포장 선물 캠핑용 당일도정 특등급 [원산지:국산(인천광역시 강화군)],4,113400,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 드림엘링크,562-81-04158,이기순 명인의 순 깍두기 2kg 국산 무 국내산 김치 맛집 주문 무김치 프리미엄 [원산지:국산],11,111800,4320,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,짱아찌네농장,280-90-00306,"당일수확 농장직송 생바질 스위트 식용허브 300g, 1개 [원산지:국산(경기도 양평군)]",5,103000,10000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 시즌드시즌,677-87-02304,"[7종 티백 보자기포장] 카페인없는차 프리미엄 7종 샘플러: 봄, 여름, 가을, 겨울, 아침, 오후, 밤 [원산지:상세설명에 표시]",1,98500,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,감익는마을 천연식초,615-19-39008,곶감 500g x 2통.씨없는 반건시.발효 눈꽃곶감.수제 건조.감익는마을 [원산지:국산(경상남도 밀양시)],2,96200,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
